stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.031076000013854355,,0.013232400000561029,0.031076000013854355,0.5312256999895908,0.5312256999895908,0.549391700013075,0.8323129999917,2.515642400016077,right,10.0,1,1,1.9777822000323795,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
1,2,8.0,2.530440600006841,,2.5157895000302233,2.530440600006841,3.014095999998972,3.014095999998972,3.0310326000326313,3.314493499987293,3.5501946000149474,left,-8.0,1,1,0.5213997999671847,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
2,2,6.0,3.5652923000161536,,3.550333400024101,3.5652923000161536,4.06507650000276,4.06507650000276,4.06507650000276,4.364785699988715,4.582807100028731,left,-6.0,1,1,0.4999162999447435,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
3,1,4.0,4.596946900011972,,4.582944700028747,4.596946900011972,5.0971481000306085,5.0971481000306085,5.0971481000306085,5.396997900039423,5.4815713000134565,right,4.0,0,0,0.3725763999973424,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
4,1,5.0,5.496851300005801,,5.48168229998555,5.496851300005801,5.981409700005315,5.981409700005315,5.99747549998574,6.297300200036261,6.399085699988063,left,-5.0,1,1,0.41234159999294207,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
5,1,5.0,6.4141574000241235,,6.399198900035117,6.4141574000241235,6.897666700009722,6.897666700009722,6.915561000001617,7.196658600005321,7.3148253000108525,right,5.0,0,0,0.4020697000087239,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
6,1,6.0,7.330577499989886,,7.314929699990898,7.330577499989886,7.829899100004695,7.829899100004695,7.847629800031427,8.129276900028344,8.563253400032409,right,6.0,1,1,0.730500600009691,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
7,1,6.0,8.57930690003559,,8.563347399991471,8.57930690003559,9.06362710002577,9.06362710002577,9.0826253000414,9.362739500007592,9.629629700037185,left,-6.0,1,1,0.5531628999742679,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
8,1,6.0,9.647593100031372,,9.629697700031102,9.647593100031372,10.129217799985781,10.129217799985781,10.1636193000013,10.429203999985475,10.680717799987178,left,-6.0,1,1,0.5411177000496536,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
9,1,5.0,10.695626900007483,,10.680863499990664,10.695626900007483,11.197196800028905,11.197196800028905,11.197196800028905,11.496872999996413,11.680819700006396,right,5.0,1,1,0.4678917999844998,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
